,Fair,GTX 1050$110,G4600$90,Gigabyte B250M-DS3H$70,4GB DDR4$29,$454
,Good,GTX 1050 Ti$140,i3 7100$120,Gigabyte B250M-DS3H$70,8GB DDR4$53,$538
,Very good,RX 470$165,i3 7100$120,ASRock H270M Pro4$90,8GB DDR4$53,$627
,Great,RX 480$180,i3 7100$120,Gigabyte Z270-HD3$115,8GB DDR4$53,$754
,Excellent,GTX 1070$370,i5 7400$190,ASRock Z270 Killer$140,8GB DDR4$53,$1074
,Exceptional,GTX 1080$500,i7 7700K$340,MSI Z270 Gaming Pro$165,8GB DDR4$55,$1599
,Enthusiast,GTX 1080 Ti$700,R7 1700$330,MSI X370 Carbon$180,16GB DDR4$110,$1987
,Extremist,GTX 1080 x2$1000,i7 6900K$1022,Gigabyte X99 Phoenix SLI$340,16GB DDR4$110,$3447
,,,,,,
20170409,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$49,G3900$43,ECS H110M4-C23$47,4GB DDR4$29,$309
,Entry,R7 250X$75,G4560$63,MSI B250M Pro-VD$66,4GB DDR4$29,$374
,Fair,GTX 1050$110,G4600$90,Gigabyte B250M-DS3H$70,4GB DDR4$29,$454
,Good,GTX 1050 Ti$140,i3 7100$120,Gigabyte B250M-DS3H$70,8GB DDR4$53,$538
,Very good,RX 470$165,i3 7100$120,ASRock H270M Pro4$90,8GB DDR4$53,$627
,Great,RX 480$180,i3 7100$120,Gigabyte Z270-HD3$115,8GB DDR4$53,$754
,Excellent,GTX 1070$370,i5 7400$190,ASRock Z270 Killer$140,8GB DDR4$53,$1074
,Exceptional,GTX 1080$500,i7 7700K$340,MSI Z270 Gaming Pro$165,8GB DDR4$55,$1599
,Enthusiast,GTX 1080 Ti$700,R7 1700$330,MSI X370 Carbon$180,16GB DDR4$110,$1987
,Extremist,GTX 1080 x2$1000,i7 6900K$1022,Gigabyte X99 Phoenix SLI$340,16GB DDR4$110,$3447
,,,,,,
20170702,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$49,G3900$43,ECS H110M4-C23$47,4GB DDR4$29,$309
,Entry,R7 250X$75,G4560$63,MSI B250M Pro-VD$66,4GB DDR4$29,$374
,Fair,GTX 1050$110,G4600$90,Gigabyte B250M-DS3H$70,4GB DDR4$29,$454
,Good,GTX 1050 Ti$140,i3 7100$120,Gigabyte B250M-DS3H$70,8GB DDR4$53,$538
,Very good,RX 470$165,i3 7100$120,ASRock H270M Pro4$90,8GB DDR4$53,$627
,Great,RX 480$180,i3 7100$120,Gigabyte Z270-HD3$115,8GB DDR4$53,$754
,Excellent,GTX 1070$370,i5 7400$190,ASRock Z270 Killer$140,8GB DDR4$53,$1074
,Exceptional,GTX 1080$500,i7 7700K$340,MSI Z270 Gaming Pro$165,8GB DDR4$55,$1599
,Enthusiast,GTX 1080 Ti$700,R7 1700$330,MSI X370 Carbon$180,16GB DDR4$110,$1987
,Extremist,GTX 1080 x2$1000,i7 6900K$1022,Gigabyte X99 Phoenix SLI$340,16GB DDR4$110,$3447
,,,,,,
20171002,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$49,G3900$43,ECS H110M4-C23$47,4GB DDR4$29,$309
,Entry,R7 250X$75,G4560$63,MSI B250M Pro-VD$66,4GB DDR4$29,$374
,Fair,GTX 1050$110,G4600$90,Gigabyte B250M-DS3H$70,4GB DDR4$29,$454
,Good,GTX 1050 Ti$140,i3 7100$120,Gigabyte B250M-DS3H$70,8GB DDR4$53,$538
,Very good,RX 470$165,i3 7100$120,ASRock H270M Pro4$90,8GB DDR4$53,$627
,Great,RX 480$180,i3 7100$120,Gigabyte Z270-HD3$115,8GB DDR4$53,$754
,Excellent,GTX 1070$370,i5 7400$190,ASRock Z270 Killer$140,8GB DDR4$53,$1074
,Exceptional,GTX 1080$500,i7 7700K$340,MSI Z270 Gaming Pro$165,8GB DDR4$55,$1599
,Enthusiast,GTX 1080 Ti$700,R7 1700$330,MSI X370 Carbon$180,16GB DDR4$110,$1987
,Extremist,GTX 1080 x2$1000,i7 6900K$1022,Gigabyte X99 Phoenix SLI$340,16GB DDR4$110,$3447
,,,,,,
20171227,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$49,G3900$43,ECS H110M4-C23$47,4GB DDR4$29,$309
,Entry,R7 250X$75,G4560$63,MSI B250M Pro-VD$66,4GB DDR4$29,$374
,Fair,GTX 1050$110,G4600$90,Gigabyte B250M-DS3H$70,4GB DDR4$29,$454
,Good,GTX 1050 Ti$140,i3 7100$120,Gigabyte B250M-DS3H$70,8GB DDR4$53,$538
,Very good,RX 470$165,i3 7100$120,ASRock H270M Pro4$90,8GB DDR4$53,$627
,Great,RX 480$180,i3 7100$120,Gigabyte Z270-HD3$115,8GB DDR4$53,$754
,Excellent,GTX 1070$370,i5 7400$190,ASRock Z270 Killer$140,8GB DDR4$53,$1074
,Exceptional,GTX 1080$500,i7 7700K$340,MSI Z270 Gaming Pro$165,8GB DDR4$55,$1599
,Enthusiast,GTX 1080 Ti$700,R7 1700$330,MSI X370 Carbon$180,16GB DDR4$110,$1987
,Extremist,GTX 1080 x2$1000,i7 6900K$1022,Gigabyte X99 Phoenix SLI$340,16GB DDR4$110,$3447
,,,,,,
20180330,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$49,G3900$43,ECS H110M4-C23$47,4GB DDR4$29,$309
,Entry,R7 250X$75,G4560$63,MSI B250M Pro-VD$66,4GB DDR4$29,$374
,Fair,GTX 1050$110,G4600$90,Gigabyte B250M-DS3H$70,4GB DDR4$29,$454
,Good,GTX 1050 Ti$140,i3 7100$120,Gigabyte B250M-DS3H$70,8GB DDR4$53,$538
,Very good,RX 470$165,i3 7100$120,ASRock H270M Pro4$90,8GB DDR4$53,$627
,Great,RX 480$180,i3 7100$120,Gigabyte Z270-HD3$115,8GB DDR4$53,$754
,Excellent,GTX 1070$370,i5 7400$190,ASRock Z270 Killer$140,8GB DDR4$53,$1074
,Exceptional,GTX 1080$500,i7 7700K$340,MSI Z270 Gaming Pro$165,8GB DDR4$55,$1599
,Enthusiast,GTX 1080 Ti$700,R7 1700$330,MSI X370 Carbon$180,16GB DDR4$110,$1987
,Extremist,GTX 1080 x2$1000,i7 6900K$1022,Gigabyte X99 Phoenix SLI$340,16GB DDR4$110,$3447
,,,,,,
20180701,FAILED +/- 1 MONTH,,,,,
,,,,,,
20181001,FAILED +/- 1 MONTH,,,,,
,,,,,,
20190104,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,Vega 11$0,R5 2400G$150,ASRock B450M-HDV$60,4GB DDR4$20,$359
,Entry,RX 560$100,R5 1600$130,GIGABYTE B450M DS3...$75,4GB DDR4$20,$459
,Fair,RX 570$140,R5 1600$130,MSI B450M Gaming$85,4GB DDR4$20,$527
,Good,RX 570$140,R5 2600$165,MSI B450-A Pro$90,8GB DDR4$36,$608
,Very good,GTX 1660$220,R5 2600X$190,MSI X470 Gaming Pl...$135,8GB DDR4$36,$765
,Great,GTX 1660 Ti$280,i5 9600K$265,MSI Z390-A Pro$130,8GB DDR4$36,$985
,Excellent,RTX 2060$350,i7 8700$300,Gigabyte Z390 SLI$152,8GB DDR4$36,$1122
,Exceptional,RTX 2080$700,i7 8700K$366,MSI Z390 Carbon$189,8GB DDR4$50,$1771
,Enthusiast,RTX 2080 Ti$1200,i9 9900K$490,MSI Z390 Carbon$189,16GB DDR4$90,$2553
,Extremist,RTX 2080 x2$1400,TR 2920X$650,Gigabyte X399 Aoru...$280,16GB DDR4$90,$3187
,,,,,,
20190401,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,Vega 11$0,R5 2400G$150,ASRock B450M-HDV$60,4GB DDR4$20,$359
,Entry,RX 560$100,R5 1600$130,GIGABYTE B450M DS3...$75,4GB DDR4$20,$459
,Fair,RX 570$140,R5 1600$130,MSI B450M Gaming$85,4GB DDR4$20,$527
,Good,RX 570$140,R5 2600$165,MSI B450-A Pro$90,8GB DDR4$36,$608
,Very good,GTX 1660$220,R5 2600X$190,MSI X470 Gaming Pl...$135,8GB DDR4$36,$765
,Great,GTX 1660 Ti$280,i5 9600K$265,MSI Z390-A Pro$130,8GB DDR4$36,$985
,Excellent,RTX 2060$350,i7 8700$300,Gigabyte Z390 SLI$152,8GB DDR4$36,$1122
,Exceptional,RTX 2080$700,i7 8700K$366,MSI Z390 Carbon$189,8GB DDR4$50,$1771
,Enthusiast,RTX 2080 Ti$1200,i9 9900K$490,MSI Z390 Carbon$189,16GB DDR4$90,$2553
,Extremist,RTX 2080 x2$1400,TR 2920X$650,Gigabyte X399 Aoru...$280,16GB DDR4$90,$3187
,,,,,,
20190702,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,Vega 11$0,R5 2400G$150,ASRock B450M-HDV$60,4GB DDR4$20,$354
,Entry,RX 560$100,R5 1600$130,GIGABYTE B450M DS3...$75,4GB DDR4$20,$454
,Fair,RX 570$140,R5 1600$130,MSI B450M Gaming$85,4GB DDR4$20,$522
,Good,RX 570$140,R5 2600$165,MSI B450-A Pro$90,8GB DDR4$36,$603
,Very good,GTX 1660$220,R5 2600X$190,MSI X470 Gaming Pl...$135,8GB DDR4$36,$765
,Great,GTX 1660 Ti$280,i5 9600K$265,MSI Z390-A Pro$130,8GB DDR4$36,$985
,Excellent,RTX 2060$350,i7 8700$300,Gigabyte Z390 SLI$152,8GB DDR4$36,$1122
,Exceptional,RTX 2080$700,i7 8700K$366,MSI Z390 Carbon$189,8GB DDR4$50,$1738
,Enthusiast,RTX 2080 Ti$1200,i9 9900K$490,MSI Z390 Carbon$189,16GB DDR4$90,$2518
,Extremist,RTX 2080 x2$1400,TR 2920X$650,Gigabyte X399 Aoru...$280,16GB DDR4$90,$3187
,,,,,,
20191002,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,Vega 11$0,R5 2400G$119,ASRock B450M-HDV$65,4GB DDR4$22,$349
,Entry,RX 560$100,R5 1600$110,GIGABYTE B450M DS3...$73,4GB DDR4$22,$448
,Fair,RX 570$130,R5 2600$130,MSI B450-A Pro$90,8GB DDR4$39,$594
