CPU Name,CPU Mark
Intel Xeon W-3223 @ 3.50GHz,17204
AMD Ryzen 7 PRO 5850U,17175
AMD Ryzen 5 4400G,17160
AMD Ryzen 5 6600U,17142
Intel Core i5-11400F @ 2.60GHz,17125
Apple M1 Pro 8 Core 3200 MHz,17124
Intel Core i5-11400 @ 2.60GHz,17096
AMD Ryzen 5 5600H,17089
Intel Xeon E-2278G @ 3.40GHz,17023
AMD EPYC 7232P,17017
Intel Core i9-10900TE @ 1.80GHz,16914
AMD Ryzen 7 PRO 2700X,16908
AMD Ryzen 7 Extreme Edition,16903
Intel Core i7-12700TE,16833
AMD Ryzen Threadripper 1900X,16792
AMD Ryzen 7 4800U,16756
AMD Ryzen 5 PRO 6650U,16729
AMD Ryzen Embedded V2748,16706
Intel Xeon Gold 5118 @ 2.30GHz,16669
Intel Xeon Gold 6134 @ 3.20GHz,16651
Intel Core i5-1335U,16630
Intel Xeon E5-2689 v4 @ 3.10GHz,16630
Intel Core i5-12500T,16627
